nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
la chapelle gauthier,27269.77,35,LA CHAPELLE GAUTHIER
la chapelle iger,30417.27,13,LA CHAPELLE IGER
la chapelle la reine,26520.39,47,LA CHAPELLE LA REINE
la chapelle moutils,23859.9,53,LA CHAPELLE MOUTILS
la chapelle rablais,27330.7,35,LA CHAPELLE RABLAIS
la chapelle st sulpice,25485.32,9,LA CHAPELLE ST SULPICE
la courneuve,16607.01,94,LA COURNEUVE
la croix en brie,26738.84,42,LA CROIX EN BRIE
la falaise,29298.93,16,LA FALAISE
la ferte alais,28076.29,49,LA FERTE ALAIS
la ferte gaucher,22719.12,90,LA FERTE GAUCHER
la ferte sous jouarre,24267.96,140,LA FERTE SOUS JOUARRE
la foret le roi,28706.43,15,LA FORET LE ROI
la foret ste croix,27213.17,10,LA FORET STE CROIX
la frette sur seine,30508.01,39,LA FRETTE SUR SEINE
la garenne colombes,35671.94,44,LA GARENNE COLOMBES
la genevraye,26544.52,48,LA GENEVRAYE
la grande paroisse,24743.77,80,LA GRANDE PAROISSE
la haute maison,25814.07,27,LA HAUTE MAISON
la hauteville,35246.47,28,LA HAUTEVILLE
la houssaye en brie,28070.23,58,LA HOUSSAYE EN BRIE
la madeleine sur loing,25426.5,27,LA MADELEINE SUR LOING
la norville,30301.4,53,LA NORVILLE
la queue en brie,28263.41,82,LA QUEUE EN BRIE
